Model,Rank,RMSE,MAE,R2
Random Forest Regressor,1,1.9582558113752173,1.1791139240506328,0.8129842973462945
Gradient Boosting,2,2.004681507881387,1.159378776277203,0.8040117686390182
Decision Tree Regressor,3,2.0500077184170844,1.139240506329114,0.795048916950583
Extra Trees,4,2.2714301522848688,1.3377215189873415,0.7483841480948958
MLP Regressor,5,2.7845991258644003,2.020337290519022,0.6218495773067233
