Rank,Model,Scenario,Scaling,MAE,RMSE,R2
1,Random Forest Regressor,Full Information,StandardScaler,1.1791139240506328,1.9582558113752173,0.8129842973462945
2,Gradient Boosting,,,1.159378776277203,2.004681507881387,0.8040117686390182
3,Decision Tree Regressor,Full Information,StandardScaler,1.139240506329114,2.0500077184170844,0.795048916950583
4,Extra Trees,,,1.3377215189873415,2.2714301522848688,0.7483841480948958
5,MLP Regressor,Full Information,StandardScaler,2.020337290519022,2.7845991258644003,0.6218495773067233
